id,GMSTP,SRSTR,PLHTN,HER
EMF2201896517,27.89,6.19,269.88,0.39
EMF2100288521,28.04,4.95,301.52,0.36
EMF2000987173,25.52,6.05,283.02,0.37
EMF2001644710,27.86,5.5,303.65,0.38
EMF2201896586,29.04,5.69,293.9,0.37
EMF2201896083,34.07,5.01,285.7,0.38
EMF2200587313,27.35,5.32,291.08,0.39
EMF2200588198,27.57,5.32,296.97,0.37
EMF2201896513,28.12,5.32,296.52,0.4
EMF2200460359,29.81,5.25,297.74,0.38
EMF2200587555,27.41,5.23,312.19,0.39
EMF2200590884,25.67,6.01,298.43,0.39
EMF2200587642,26.11,5.33,294.79,0.34
EMF2200589169,28.26,5.23,293.85,0.34
EMF2200587857,22.04,5.33,301.99,0.37
EMF2200462438,27.84,5.23,303.67,0.38
EMF2200590922,27.32,5.32,286.25,0.39
EMF2200589861,25.02,8.38,295.12,0.38
EMF2100289540,29.44,3.57,291.7,0.35
EMF2200589726,38.36,5.33,278.41,0.38
EMF2200462663,26.62,5.25,305.6,0.38
EMF2200461312,29.22,5.23,293.19,0.38
EMF2200588054,30.59,5.32,303.94,0.38
EMF2200589968,25.12,6.03,295.77,0.36
EMF2200589227,26.58,5.32,302.63,0.37
EMF2200590627,26.12,5.25,311.49,0.38
EMF2200589075,25.76,5.23,285.99,0.42
EMF2200591022,26.7,5.23,295.16,0.34
EMF2200589681,30.14,5.23,278.13,0.39
